frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,_ws.col.protocol
"Apr 27, 2025 15:53:58.023465000 CDT","192.168.4.148","142.251.186.94",,,"UDP"
"Apr 27, 2025 15:53:58.042175000 CDT","142.251.186.94","192.168.4.148",,,"UDP"
"Apr 27, 2025 15:53:58.070190000 CDT","192.168.4.148","142.251.186.94",,,"UDP"
"Apr 27, 2025 15:53:58.102859000 CDT","142.251.186.94","192.168.4.148",,,"UDP"
"Apr 27, 2025 15:53:58.197814000 CDT","192.168.4.25","192.168.7.255",,,"UDP"
"Apr 27, 2025 15:53:59.843374000 CDT","142.251.186.95","192.168.4.148",,,"UDP"
"Apr 27, 2025 15:53:59.870167000 CDT","192.168.4.148","142.251.186.95",,,"UDP"
"Apr 27, 2025 15:53:59.879220000 CDT","142.251.186.95","192.168.4.148",,,"UDP"
"Apr 27, 2025 15:53:59.879453000 CDT","192.168.4.148","142.251.186.95",,,"UDP"
"Apr 27, 2025 15:54:00.046676000 CDT","192.168.4.148","142.251.186.95",,,"UDP"
"Apr 27, 2025 15:54:00.081231000 CDT","142.251.186.95","192.168.4.148",,,"UDP"
"Apr 27, 2025 15:54:00.151048000 CDT","192.168.4.148","18.206.138.162","55280","443","TCP"
"Apr 27, 2025 15:54:00.194291000 CDT","18.206.138.162","192.168.4.148","443","55280","TCP"
"Apr 27, 2025 15:54:00.285202000 CDT","192.168.4.148","142.251.186.95",,,"UDP"
"Apr 27, 2025 15:54:00.320380000 CDT","142.251.186.95","192.168.4.148",,,"UDP"
"Apr 27, 2025 15:54:00.525148000 CDT","192.168.4.148","142.251.186.95",,,"UDP"
"Apr 27, 2025 15:54:00.535161000 CDT","142.251.186.95","192.168.4.148",,,"UDP"
"Apr 27, 2025 15:54:00.659280000 CDT",,,,,"ARP"
"Apr 27, 2025 15:54:00.659367000 CDT",,,,,"ARP"
"Apr 27, 2025 15:54:00.740452000 CDT","192.168.4.148","142.251.186.95",,,"UDP"
"Apr 27, 2025 15:54:00.749613000 CDT","142.251.186.95","192.168.4.148",,,"UDP"
"Apr 27, 2025 15:54:00.951972000 CDT","192.168.4.148","142.251.186.95",,,"UDP"
"Apr 27, 2025 15:54:00.953936000 CDT","192.168.4.148","192.168.4.1",,,"DNS"
"Apr 27, 2025 15:54:00.953975000 CDT","192.168.4.148","192.168.4.1",,,"DNS"
"Apr 27, 2025 15:54:00.963872000 CDT","142.251.186.95","192.168.4.148",,,"UDP"
"Apr 27, 2025 15:54:00.998132000 CDT","192.168.4.1","192.168.4.148",,,"DNS"
"Apr 27, 2025 15:54:01.008680000 CDT","192.168.4.148","3.226.73.8","55285","443","TCP"
"Apr 27, 2025 15:54:01.022407000 CDT","192.168.4.148","104.18.32.47","55270","443","SSL"
"Apr 27, 2025 15:54:01.022410000 CDT","192.168.4.148","104.18.32.47","55270","443","TCP"
"Apr 27, 2025 15:54:01.022411000 CDT","192.168.4.148","104.18.32.47","55270","443","TCP"
"Apr 27, 2025 15:54:01.022412000 CDT","192.168.4.148","104.18.32.47","55270","443","TCP"
"Apr 27, 2025 15:54:01.022480000 CDT","192.168.4.148","104.18.32.47","55270","443","TLSv1.2"
"Apr 27, 2025 15:54:01.022504000 CDT","192.168.4.148","104.18.32.47","55270","443","TLSv1.2"
"Apr 27, 2025 15:54:01.022518000 CDT","192.168.4.148","104.18.32.47","55270","443","TLSv1.2"
"Apr 27, 2025 15:54:01.023145000 CDT","192.168.4.148","40.71.11.167","55273","443","TCP"
"Apr 27, 2025 15:54:01.029149000 CDT","104.18.32.47","192.168.4.148","443","55270","TCP"
"Apr 27, 2025 15:54:01.029150000 CDT","104.18.32.47","192.168.4.148","443","55270","TCP"
"Apr 27, 2025 15:54:01.029150000 CDT","104.18.32.47","192.168.4.148","443","55270","TLSv1.2"
"Apr 27, 2025 15:54:01.029278000 CDT","192.168.4.148","104.18.32.47","55270","443","TCP"
"Apr 27, 2025 15:54:01.035277000 CDT","192.168.4.148","192.168.4.1",,,"DNS"
"Apr 27, 2025 15:54:01.035318000 CDT","192.168.4.148","192.168.4.1",,,"DNS"
"Apr 27, 2025 15:54:01.036095000 CDT","192.168.4.148","192.168.4.1",,,"DNS"
"Apr 27, 2025 15:54:01.036141000 CDT","192.168.4.148","192.168.4.1",,,"DNS"
"Apr 27, 2025 15:54:01.047206000 CDT","192.168.4.1","192.168.4.148",,,"DNS"
"Apr 27, 2025 15:54:01.047207000 CDT","192.168.4.1","192.168.4.148",,,"DNS"
"Apr 27, 2025 15:54:01.047207000 CDT","192.168.4.1","192.168.4.148",,,"DNS"
"Apr 27, 2025 15:54:01.047208000 CDT","192.168.4.1","192.168.4.148",,,"DNS"
"Apr 27, 2025 15:54:01.048604000 CDT","192.168.4.148","142.250.113.138",,,"QUIC"
"Apr 27, 2025 15:54:01.048644000 CDT","192.168.4.148","142.250.113.138",,,"QUIC"
"Apr 27, 2025 15:54:01.048924000 CDT","192.168.4.148","142.250.113.138",,,"QUIC"
"Apr 27, 2025 15:54:01.049744000 CDT","192.168.4.148","142.251.186.95",,,"UDP"
"Apr 27, 2025 15:54:01.049777000 CDT","192.168.4.148","142.251.186.95",,,"UDP"
"Apr 27, 2025 15:54:01.049778000 CDT","192.168.4.148","142.251.186.95",,,"UDP"
"Apr 27, 2025 15:54:01.050641000 CDT","192.168.4.148","142.251.186.95",,,"UDP"
"Apr 27, 2025 15:54:01.050700000 CDT","192.168.4.148","142.251.186.95",,,"UDP"
"Apr 27, 2025 15:54:01.054730000 CDT","3.226.73.8","192.168.4.148","443","55285","TCP"
"Apr 27, 2025 15:54:01.054843000 CDT","192.168.4.148","3.226.73.8","55285","443","TCP"
"Apr 27, 2025 15:54:01.055844000 CDT","192.168.4.148","3.226.73.8","55285","443","SSL"
"Apr 27, 2025 15:54:01.055865000 CDT","192.168.4.148","3.226.73.8","55285","443","TLSv1.2"
"Apr 27, 2025 15:54:01.056657000 CDT","142.250.113.138","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:01.056658000 CDT","142.250.113.138","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:01.057199000 CDT","142.250.113.138","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:01.057199000 CDT","142.250.113.138","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:01.057200000 CDT","142.250.113.138","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:01.057673000 CDT","192.168.4.148","142.250.113.138",,,"QUIC"
"Apr 27, 2025 15:54:01.057758000 CDT","192.168.4.148","142.250.113.138",,,"QUIC"
"Apr 27, 2025 15:54:01.058104000 CDT","192.168.4.148","142.250.113.138",,,"QUIC"
"Apr 27, 2025 15:54:01.058120000 CDT","192.168.4.148","142.250.113.138",,,"QUIC"
"Apr 27, 2025 15:54:01.058268000 CDT","192.168.4.148","142.250.113.138",,,"QUIC"
"Apr 27, 2025 15:54:01.058276000 CDT","192.168.4.148","142.250.113.138",,,"QUIC"
"Apr 27, 2025 15:54:01.058350000 CDT","192.168.4.148","142.250.113.138",,,"QUIC"
"Apr 27, 2025 15:54:01.058358000 CDT","192.168.4.148","142.250.113.138",,,"QUIC"
"Apr 27, 2025 15:54:01.058457000 CDT","192.168.4.148","142.250.113.138",,,"QUIC"
"Apr 27, 2025 15:54:01.058738000 CDT","192.168.4.148","142.250.113.138",,,"QUIC"
"Apr 27, 2025 15:54:01.058772000 CDT","192.168.4.148","142.250.113.138",,,"QUIC"
"Apr 27, 2025 15:54:01.058916000 CDT","142.251.186.95","192.168.4.148",,,"UDP"
"Apr 27, 2025 15:54:01.058916000 CDT","104.18.32.47","192.168.4.148","443","55270","TLSv1.2"
"Apr 27, 2025 15:54:01.058917000 CDT","104.18.32.47","192.168.4.148","443","55270","TLSv1.2"
"Apr 27, 2025 15:54:01.058975000 CDT","192.168.4.148","104.18.32.47","55270","443","TCP"
"Apr 27, 2025 15:54:01.059836000 CDT","192.168.4.148","104.18.32.47","55270","443","TLSv1.2"
"Apr 27, 2025 15:54:01.061289000 CDT","142.251.186.95","192.168.4.148",,,"UDP"
"Apr 27, 2025 15:54:01.062122000 CDT","192.168.4.148","142.251.186.95",,,"UDP"
"Apr 27, 2025 15:54:01.073655000 CDT","192.168.4.148","142.250.113.138",,,"QUIC"
"Apr 27, 2025 15:54:01.075069000 CDT","142.250.113.138","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:01.075070000 CDT","192.168.4.1","192.168.4.148",,,"DNS"
"Apr 27, 2025 15:54:01.075071000 CDT","142.250.113.138","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:01.075071000 CDT","142.250.113.138","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:01.075072000 CDT","142.250.113.138","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:01.075072000 CDT","142.250.113.138","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:01.075072000 CDT","142.250.113.138","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:01.075073000 CDT","142.250.113.138","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:01.075073000 CDT","40.71.11.167","192.168.4.148","443","55273","TCP"
"Apr 27, 2025 15:54:01.075073000 CDT","142.251.186.95","192.168.4.148",,,"UDP"
"Apr 27, 2025 15:54:01.075074000 CDT","142.251.186.95","192.168.4.148",,,"UDP"
"Apr 27, 2025 15:54:01.075160000 CDT","192.168.4.148","192.168.4.1",,,"ICMP"
"Apr 27, 2025 15:54:01.075288000 CDT","192.168.4.148","142.250.113.138",,,"QUIC"
"Apr 27, 2025 15:54:01.075306000 CDT","192.168.4.148","142.250.113.138",,,"QUIC"
"Apr 27, 2025 15:54:01.077708000 CDT","192.168.4.148","142.251.186.95",,,"UDP"
"Apr 27, 2025 15:54:01.079428000 CDT","142.250.113.138","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:01.086349000 CDT","142.251.186.95","192.168.4.148",,,"UDP"
"Apr 27, 2025 15:54:01.091422000 CDT","142.250.113.138","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:01.091423000 CDT","142.250.113.138","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:01.091424000 CDT","142.250.113.138","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:01.091617000 CDT","192.168.4.148","142.250.113.138",,,"QUIC"
"Apr 27, 2025 15:54:01.092914000 CDT","142.250.113.138","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:01.093804000 CDT","192.168.4.148","142.250.113.138",,,"QUIC"
"Apr 27, 2025 15:54:01.095803000 CDT","142.251.186.95","192.168.4.148",,,"UDP"
"Apr 27, 2025 15:54:01.095804000 CDT","142.251.186.95","192.168.4.148",,,"UDP"
"Apr 27, 2025 15:54:01.098264000 CDT","192.168.4.148","142.251.186.95",,,"UDP"
"Apr 27, 2025 15:54:01.102413000 CDT","3.226.73.8","192.168.4.148","443","55285","TCP"
"Apr 27, 2025 15:54:01.102414000 CDT","3.226.73.8","192.168.4.148","443","55285","TLSv1.3"
"Apr 27, 2025 15:54:01.102415000 CDT","3.226.73.8","192.168.4.148","443","55285","TCP"
"Apr 27, 2025 15:54:01.102415000 CDT","3.226.73.8","192.168.4.148","443","55285","TCP"
"Apr 27, 2025 15:54:01.102416000 CDT","3.226.73.8","192.168.4.148","443","55285","TLSv1.3"
"Apr 27, 2025 15:54:01.102416000 CDT","142.250.113.138","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:01.102522000 CDT","192.168.4.148","3.226.73.8","55285","443","TCP"
"Apr 27, 2025 15:54:01.102588000 CDT","192.168.4.148","3.226.73.8","55285","443","TCP"
"Apr 27, 2025 15:54:01.102766000 CDT","192.168.4.148","3.226.73.8","55285","443","TLSv1.3"
"Apr 27, 2025 15:54:01.102861000 CDT","192.168.4.148","3.226.73.8","55285","443","TLSv1.3"
"Apr 27, 2025 15:54:01.102953000 CDT","192.168.4.148","3.226.73.8","55285","443","TLSv1.3"
"Apr 27, 2025 15:54:01.102957000 CDT","192.168.4.148","3.226.73.8","55285","443","TLSv1.3"
"Apr 27, 2025 15:54:01.113060000 CDT","142.251.186.95","192.168.4.148",,,"UDP"
"Apr 27, 2025 15:54:01.113060000 CDT","104.18.32.47","192.168.4.148","443","55270","TCP"
"Apr 27, 2025 15:54:01.156556000 CDT","3.226.73.8","192.168.4.148","443","55285","TLSv1.3"
"Apr 27, 2025 15:54:01.156558000 CDT","3.226.73.8","192.168.4.148","443","55285","TCP"
"Apr 27, 2025 15:54:01.156558000 CDT","3.226.73.8","192.168.4.148","443","55285","TLSv1.3"
"Apr 27, 2025 15:54:01.156559000 CDT","3.226.73.8","192.168.4.148","443","55285","TCP"
"Apr 27, 2025 15:54:01.156673000 CDT","192.168.4.148","3.226.73.8","55285","443","TCP"
"Apr 27, 2025 15:54:01.156731000 CDT","192.168.4.148","3.226.73.8","55285","443","TCP"
"Apr 27, 2025 15:54:01.156817000 CDT","192.168.4.148","3.226.73.8","55285","443","TLSv1.3"
"Apr 27, 2025 15:54:01.245105000 CDT","3.226.73.8","192.168.4.148","443","55285","TLSv1.3"
"Apr 27, 2025 15:54:01.245222000 CDT","192.168.4.148","3.226.73.8","55285","443","TCP"
"Apr 27, 2025 15:54:01.245561000 CDT","192.168.4.148","3.226.73.8","55285","443","TLSv1.3"
"Apr 27, 2025 15:54:01.317536000 CDT","192.168.4.148","142.251.186.95",,,"UDP"
"Apr 27, 2025 15:54:01.328053000 CDT","142.251.186.95","192.168.4.148",,,"UDP"
"Apr 27, 2025 15:54:01.330703000 CDT","3.226.73.8","192.168.4.148","443","55285","TCP"
"Apr 27, 2025 15:54:01.475031000 CDT",,,,,"MDNS"
"Apr 27, 2025 15:54:01.475033000 CDT","192.168.4.78","224.0.0.251",,,"MDNS"
"Apr 27, 2025 15:54:01.532684000 CDT","192.168.4.148","142.251.186.95",,,"UDP"
